Posture Number,Deltoid Anterior,Deltoid Posterior,Bicep,Tricep,Brachialis,Anconeus
1.0,-2.5260467064662691,1.2418617711436923,-10.565605083703181,-6.114602965493523,-2.7728635567782836,1.9329090378521887
2.0,-2.5058033689189898,1.2333382605974694,-10.539566984534831,-6.0994140743119853,-2.7790224059231097,1.9370149372820729
3.0,-2.4856337989960045,1.2248458101035808,-10.513004960180696,-6.0839195601054055,-2.7848494073572914,1.9408996049048606
4.0,-2.4655404792375228,1.2163854649421151,-10.485923692063302,-6.0681221537035928,-2.7903445499118926,1.9445630332745949
5.0,-2.4455259758567442,1.2079583056238923,-10.45832798953303,-6.0520246605609351,-2.7955078071127581,1.9480052047418384
6.0,-2.4255929357514212,1.1995654466321775,-10.430222789800629,-6.0356299607170349,-2.8003391399779165,1.9512260933186105
7.0,-2.4057440834216552,1.1912080351249075,-10.401613157356243,-6.0189410084578086,-2.8048384996470794,1.954225666431386
8.0,-2.3859822177953216,1.1828872495980303,-10.372504282878673,-6.0019608316792254,-2.8090058298437683,1.9570038865625119
9.0,-2.3663102089633044,1.1746042985108651,-10.342901481639444,-5.9846925309563428,-2.8128410691702759,1.9595607127801835
10.0,-2.3467309948275732,1.1663604188747678,-10.312810191407443,-5.9671392783210102,-2.8163441532354949,1.9618961021569963
11.0,-2.3272475776659198,1.158156874806703,-10.282235969861038,-5.949304315752272,-2.8195150166154375,1.9640100110769581
12.0,-2.3078630206180071,1.1499949560496872,-10.251184491515874,-5.9311909533842595,-2.8223535946461404,1.96590239643076
13.0,-2.2885804440980717,1.1418759764623461,-10.219661544177653,-5.9128025674369642,-2.8248598250485482,1.9675732166990318
14.0,-2.2694030221404051,1.1338012724801707,-10.187673024930561,-5.8941425978761615,-2.8270336493848967,1.9690224329232642
15.0,-2.2503339786844156,1.125772201551333,-10.155224935673184,-5.8752145458093583,-2.8288750143460928,1.9702500095640616
16.0,-2.231376583806731,1.1177901405502026,-10.122323378215047,-5.8560219706254451,-2.8303838728695681,1.9712559152463782
17.0,-2.2125341499084268,1.1098564841719694,-10.088974548948059,-5.8365684868863674,-2.8315601850870986,1.9720401233913989
18.0,-2.1938100278660499,1.1019726433120212,-10.055184733108394,-5.8168577609798966,-2.8324039191021497,1.9726026127347662
19.0,-2.1752076031556178,1.0941400434339443,-10.020960298645388,-5.7968935075431425,-2.8329150515963195,1.9729433677308794
20.0,-2.1567302919592777,1.0863601229302222,-9.9863076897151259,-5.7766794856671559,-2.8330935682645628,1.9730623788430417
21.0,-2.1383815372647277,1.0786343314798854,-9.9512334198173846,-5.7562194948934753,-2.8329394640789514,1.9729596427193006
22.0,-2.1201648049678705,1.0709641284075244,-9.9157440645954704,-5.7355173710140246,-2.8324527433808062,1.9726351622538705
23.0,-2.1020835799895141,1.0633509810482165,-9.8798462543193022,-5.7145769816862604,-2.831633419801165,1.9720889465341096
24.0,-2.0841413624171712,1.0557963631230196,-9.8435466660728128,-5.6934022218758074,-2.8304815160096131,1.971321010673075
25.0,-2.0663416636832261,1.0483017531297794,-9.8068520156672818,-5.6719970091392486,-2.8289970632916379,1.9703313755277583
26.0,-2.048688002790894,1.0408686327540608,-9.7697690493027523,-5.6503652787599385,-2.8271801009547395,1.9691200673031595
27.0,-2.0311839025994676,1.0334984853050391,-9.7323045349999155,-5.6285109787499508,-2.8250306755636205,1.9676871170424133
28.0,-2.0138328861803871,1.0261927941812157,-9.6944652538251876,-5.6064380647313588,-2.8225488400048588,1.9660325600032389
29.0,-1.9966384732556619,1.0189530413708052,-9.6562579909316586,-5.5841504947101352,-2.8197346523815181,1.9641564349210117
30.0,-1.9796041767300563,1.0117807059916029,-9.617689526438598,-5.5616522237558499,-2.8165881747381931,1.9620587831587952
31.0,-1.9627334993283665,1.0046772628751017,-9.578766626171987,-5.5389471986003258,-2.8131094716170151,1.9597396477446765
32.0,-1.9460299303488908,0.99764418119953302,-9.5394960322881257,-5.5160393521680735,-2.8092986084451139,1.9571990722967423
33.0,-1.9294969425440185,0.99068292317642892,-9.4998844538019895,-5.4929325980511621,-2.8051556497540306,1.9544370998360201
34.0,-1.9131379891385538,0.98379494279518065,-9.4599385570412995,-5.4696308249407579,-2.800680657231494,1.9514537714876623
35.0,-1.8969565009961042,0.97698168462993884,-9.4196649560464358,-5.4461378910270888,-2.7958736876058565,1.9482491250705707
36.0,-1.880955883943523,0.97024458271306235,-9.3790702029355817,-5.4224576183790898,-2.790734790363401,1.9448231935756002
37.0,-1.8651395162630431,0.96358505947917616,-9.3381607782532665,-5.3985937873144056,-2.7852640052984876,1.9411760035323247
38.0,-1.8495107463612992,0.95700452478370501,-9.2969430813193767,-5.3745501307696362,-2.7794613598963527,1.9373075732642346
39.0,-1.8340728906241033,0.95050437499962248,-9.2554234205944024,-5.3503303286800694,-2.7733268665480511,1.9332179110320336
40.0,-1.8188292314653463,0.94408599219593548,-9.2136080040752297,-5.3259380023772174,-2.766860519596761,1.928907013064507
41.0,-1.8037830155780195,0.93775074340127151,-9.1715029297342525,-5.3013767090116488,-2.7600622922142661,1.9243748614761771
42.0,-1.7889374523949195,0.93149997995575573,-9.1291141760129371,-5.2766499360075461,-2.7529321331060186,1.9196214220706787
43.0,-1.7742957127661578,0.92533503695417185,-9.0864475923791748,-5.2517610955545191,-2.7454699630427015,1.9146466420284673
44.0,-1.7598609278602233,0.919257232783252,-9.0435088899559233,-5.2267135191409562,-2.7376756712156451,1.9094504474770964
45.0,-1.7456361882949638,0.91326786875577437,-9.0003036322266414,-5.201510452132208,-2.7295491114128283,1.9040327409418853
46.0,-1.7316245435044677,0.90736822884398649,-8.956837225820987,-5.1761550483955769,-2.7210900980115245,1.8983933986743493
47.0,-1.7178290013475501,0.90155957951475807,-8.9131149113820651,-5.1506503649728721,-2.7122984017828276,1.8925322678552181
48.0,-1.7042525279632361,0.89584316966873112,-8.8691417545142794,-5.1249993567999965,-2.7031737455024949,1.8864491636683296
49.0,-1.6908980478784357,0.89022023068565725,-8.8249226368085196,-5.0992048714716365,-2.6937157993615317,1.8801438662410208
50.0,-1.6777684443728058,0.88469197657802356,-8.7804622469389688,-5.0732696440477323,-2.6839241761689316,1.8736161174459542
51.0,-1.6648665601057142,0.87925960425503769,-8.7357650718232982,-5.047196291896924,-2.6737984263378149,1.866865617558543
52.0,-1.6521951980101703,0.87392429389901916,-8.6908353878354347,-5.0209873095706694,-2.6633380326449245,1.8598920217632826
53.0,-1.6397571224586376,0.86868720945626854,-8.6456772520573093,-4.9946450637000979,-2.6525424047520514,1.8526949365013672
54.0,-1.6275550607057812,0.8635494992445395,-8.6002944935532497,-4.9681717879060621,-2.6414108734764117,1.8452739156509408
55.0,-1.6155917046134383,0.85851229667934259,-8.5546907046476406,-4.9415695777111246,-2.6299426847952998,1.8376284565301997
56.0,-1.6038697126634254,0.85357672112144245,-8.508869232183466,-4.9148403854403551,-2.6181369935684882,1.8297579957123251
57.0,-1.5923917122642797,0.84874387884811786,-8.4628331687360934,-4.8879860150960557,-2.6059928569597819,1.8216619046398543
58.0,-1.5811603023585958,0.84401486415098781,-8.4165853437532316,-4.8610081171893853,-2.5935092275368934,1.8133394850245952
59.0,-1.5701780563383547,0.83939076056351791,-8.3701283145884009,-4.8339081835099016,-2.580684946026286,1.8047899640175236
60.0,-1.5594475252765347,0.83487264222169899,-8.323464357391483,-4.8066875418116997,-2.5675187336969194,1.7960124891312794
61.0,-1.5489712414843326,0.83046157536182441,-8.2765954578157306,-4.779347350392511,-2.5540091843437613,1.7870061228958405
62.0,-1.5387517224045695,0.82615861995981887,-8.2295233014963163,-4.7518885925395171,-2.5401547558385658,1.7777698372257102
63.0,-1.5287914748533045,0.82196483151718092,-8.1822492642507285,-4.7243120708129247,-2.5259537612117078,1.7683025074744716
64.0,-1.5190929996233469,0.81788126299930408,-8.1347744019462223,-4.6966184011352965,-2.5114043592246778,1.7586029061497848
65.0,-1.5096587964652972,0.81390896693275683,-8.0870994399738461,-4.6688080066514104,-2.496504544388221,1.7486696962588137
66.0,-1.5004913694639379,0.8100489976690266,-8.0392247622625668,-4.6408811113198318,-2.4812521363759741,1.7385014242506491
67.0,-1.4915932328303587,0.80630241382330903,-7.9911503997601079,-4.6128377331933965,-2.4656447687776089,1.7280965125184056
68.0,-1.4829669171330384,0.80267028089812165,-7.942876018299736,-4.5846776773415119,-2.4496798771290944,1.7174532514193959
69.0,-1.4746149759944305,0.79915367410291827,-7.8944009057638249,-4.5564005283622322,-2.4333546861503468,1.7065697907668975
70.0,-1.4665399932833245,0.79575368138245262,-7.8457239584457579,-4.5280056424266917,-2.4166661961123608,1.6954441307415735
71.0,-1.4587445908375052,0.79247140666842331,-7.7968436665012515,-4.4994921387923963,-2.3996111682466732,1.6840741121644485
72.0,-1.4512314367560988,0.78930797337098912,-7.7477580983684469,-4.4708588907149274,-2.3821861090994982,1.6724574060663318
73.0,-1.4440032543065076,0.7862645281290559,-7.6984648840227674,-4.4421045156799472,-2.364387253721008,1.6605915024806717
74.0,-1.4370628314971432,0.78334224484090254,-7.6489611969174431,-4.4132273648685079,-2.3462105475666908,1.6484736983777937
75.0,-1.4304130313743915,0.78054232899974396,-7.5992437344434167,-4.3842255117586593,-2.3276516269722847,1.6361010846481896
76.0,-1.4240568031104521,0.77786602236229574,-7.5493086967226226,-4.3550967397548632,-2.3087057980461463,1.6234705320307639
77.0,-1.4179971939582312,0.77531460798241325,-7.499151763526144,-4.3258385287235832,-2.2893680138026422,1.6105786758684277
78.0,-1.4122373621602731,0.77288941564643088,-7.4487680690827647,-4.2964480402982783,-2.2696328493369129,1.5974218995579417
79.0,-1.4067805909113309,0.77059182775213941,-7.3981521745135348,-4.2669221017995618,-2.2494944748144539,1.5839963165429689
80.0,-1.401630303488657,0.76842328567943463,-7.3472980375932817,-4.2372571885960806,-2.2289466260179132,1.5702977506786084
81.0,-1.3967900796809172,0.76638529670775468,-7.2961989794998363,-4.2074494047082371,-2.2079825721574702,1.5563217147716466
82.0,-1.3922636736662015,0.76447944154366398,-7.2448476481647628,-4.1774944614294451,-2.1865950806091377,1.5420633870727583
83.0,-1.3880550335124391,0.76270738253155335,-7.1932359777847186,-4.147387653707753,-2.1647763781963643,1.5275175854642427
84.0,-1.3841683225002246,0.76107087263167372,-7.1413551439881831,-4.1171238339931069,-2.1425181085728258,1.5126787390485501
